@ HyperIMU - ianovir
@ Date:Thu Jun 11 17:08:32 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Samsung_Rotation_Vector.x,Samsung_Rotation_Vector.y,Samsung_Rotation_Vector.z,Linear_Acceleration_Sensor.x,Linear_Acceleration_Sensor.y,Linear_Acceleration_Sensor.z
1591888131653,-0.741213,-0.049384,0.104003,-0.8093688,-6.4968433,3.9281042
1591888131672,-0.741915,-0.059103,0.119137,-3.289995,-2.9433012,6.1025023
1591888131695,-0.739309,-0.06703,0.137649,-4.5357656,-2.2941198,7.602683
1591888131717,-0.728147,-0.074668,0.171468,-4.260768,-1.0363855,-1.9200974
1591888131736,-0.720785,-0.099658,0.217263,0.9760551,-2.530592,-0.99038744
1591888131758,-0.716533,-0.126291,0.258069,-2.056235,-0.96505356,0.8609414
1591888131780,-0.712826,-0.143854,0.283601,-4.629578,1.5978556,1.063165
1591888131805,-0.70963,-0.153527,0.299898,-3.8952396,3.8771143,0.7885958
1591888131827,-0.705691,-0.166784,0.323348,-1.0664496,5.5555673,-1.2199222
1591888131848,-0.70539,-0.170117,0.330681,-0.44322586,5.4270844,-1.3762227
1591888131875,-0.707609,-0.1768,0.350356,0.12169552,4.610205,0.5695497
1591888131897,-0.70815,-0.178966,0.364478,0.101783514,5.598114,0.6691207
1591888131919,-0.70888,-0.177604,0.383762,0.58946157,7.080867,-0.5172541
1591888131940,-0.710395,-0.178022,0.393425,-1.3910112,5.5113306,-1.025244
1591888131968,-0.709605,-0.181767,0.420182,-2.5092583,-0.8139591,-2.9194794
1591888131990,-0.709118,-0.179444,0.433311,0.96764517,-3.6027098,-1.8361492
1591888132010,-0.715762,-0.166637,0.42372,0.7365136,-3.687006,0.26899976
1591888132032,-0.725796,-0.148254,0.403073,-1.2381606,-2.9605217,0.12072456
1591888132053,-0.7357,-0.133189,0.388028,-1.4927721,-1.6035185,-0.16697037
1591888132079,-0.74724,-0.123771,0.374136,-4.6170645,-2.090684,2.1659193
1591888132094,-0.757928,-0.114762,0.360107,-4.6856604,-4.61454,3.0665965
1591888132124,-0.761932,-0.101559,0.342071,-0.21453619,-4.3094807,-0.28190553
1591888132150,-0.758289,-0.09657,0.327057,1.0727608,-5.889844,-2.5168772
1591888132172,-0.751402,-0.097946,0.305596,-3.7148635,-10.570633,0.114482045
1591888132193,-0.744809,-0.098394,0.296927,-4.803974,-8.927005,-2.380562
1591888132215,-0.740052,-0.096724,0.282077,-1.6127846,-7.122921,-2.659571
1591888132235,-0.738993,-0.095515,0.265625,3.7862213,-5.7558355,0.9037455
1591888132256,-0.739847,-0.103312,0.256653,6.1520424,-1.8509521,4.8424354
1591888132277,-0.738527,-0.132268,0.258603,5.7779837,3.1177902,3.9012313
1591888132297,-0.737372,-0.157003,0.262819,4.9947205,4.3099036,3.8788414
1591888132321,-0.736455,-0.182541,0.267654,2.7957866,7.74529,5.4230585
1591888132339,-0.732248,-0.208863,0.275674,0.62926793,10.0937605,6.00913
1591888132362,-0.725042,-0.234978,0.291842,-0.26806772,11.475517,5.793468
1591888132390,-0.713525,-0.279948,0.337225,1.0763552,10.387132,5.417493
1591888132417,-0.697946,-0.314459,0.37869,0.596599,10.811394,5.766845
1591888132441,-0.671608,-0.35647,0.436647,2.653248,10.449765,3.3879132
1591888132463,-0.656501,-0.377323,0.467292,3.8462777,10.701587,1.9752711
1591888132489,-0.64302,-0.398652,0.493059,3.6979253,10.73992,1.9850142
1591888132512,-0.627976,-0.432011,0.522181,-0.8656962,5.7075586,-14.819535
1591888132533,-0.628994,-0.467926,0.531755,-7.990112,2.8661518,-10.748671
1591888132558,-0.624798,-0.474926,0.595051,-28.961414,-19.11033,-6.2738447
1591888132577,-0.648805,-0.412893,0.624098,-19.899078,-13.422611,-14.971495
1591888132599,-0.668867,-0.391182,0.618856,-5.2055397,-4.641875,-4.5886173
1591888132622,-0.669094,-0.402171,0.611054,-3.2050552,-0.4343691,-7.3111343
1591888132643,-0.661514,-0.415953,0.60659,-6.1119175,-1.8862925,-6.717971
1591888132671,-0.664017,-0.426321,0.590318,-4.9374976,-6.626035,-4.305224
1591888132698,-0.667613,-0.429512,0.58105,-5.1945205,-5.258736,-4.344496
1591888132721,-0.676029,-0.429551,0.565258,-2.8064542,-0.7805853,-1.9288933
1591888132742,-0.686125,-0.426041,0.547757,1.3638244,3.2322607,1.2053422
1591888132762,-0.698223,-0.419542,0.527396,1.8760433,4.4864736,1.6870153
1591888132786,-0.709041,-0.412428,0.506198,2.7710836,6.3305974,2.2430263
1591888132808,-0.722759,-0.399899,0.476129,4.120057,7.51029,4.288995
1591888132830,-0.727401,-0.39372,0.457449,3.9929423,7.764597,5.0335503
1591888132850,-0.729004,-0.389306,0.441761,3.720566,8.208335,5.588572
1591888132871,-0.728898,-0.38666,0.429255,3.8991556,8.839693,6.5508647
1591888132891,-0.727865,-0.388228,0.419424,4.1942325,9.663595,8.506091
1591888132912,-0.725548,-0.393794,0.414661,4.98865,10.257097,10.088877
1591888132932,-0.718065,-0.402757,0.422384,6.83232,10.254296,9.032985
1591888132955,-0.703467,-0.413309,0.443494,10.9626045,10.090271,-9.779912
1591888132983,-0.70079,-0.432133,0.441361,10.79684,2.564375,-8.746607
1591888132997,-0.707677,-0.444199,0.423811,10.591174,2.464139,-8.348967
1591888133025,-0.709302,-0.463457,0.420144,-6.6186533,-7.9345474,-0.6201258
1591888133050,-0.681061,-0.450574,0.513415,-20.293777,-23.041883,-1.9516115
1591888133075,-0.659548,-0.423731,0.590331,-18.07873,-11.057367,-3.0877109
1591888133099,-0.664811,-0.402408,0.620986,-14.689886,9.201834,-2.1041582
1591888133118,-0.665651,-0.418339,0.61261,-8.974054,6.0830646,-2.5967445
1591888133139,-0.658355,-0.432492,0.608198,-9.795664,3.7171283,-4.3696785
1591888133162,-0.659694,-0.436763,0.597942,-5.3280745,-0.0344615,-5.3300934
1591888133182,-0.666912,-0.440318,0.580603,-2.599503,0.08118534,-1.9829407
1591888133202,-0.674196,-0.448202,0.558207,-2.0443592,2.663443,0.28301573
1591888133231,-0.68298,-0.457082,0.527573,-0.6891546,5.8683324,2.6162605
1591888133255,-0.684277,-0.45682,0.517865,0.79508686,7.12121,3.3598392
1591888133279,-0.681709,-0.449708,0.519413,1.5734303,7.936657,3.0161424
1591888133300,-0.675456,-0.427323,0.533597,3.767992,9.918352,4.356119
1591888133322,-0.670318,-0.409952,0.536268,4.1886945,10.339966,4.042982
1591888133340,-0.670025,-0.384619,0.530618,3.2030706,10.497965,3.3076808
1591888133361,-0.674718,-0.353008,0.515921,1.3357255,6.4158535,1.001251
1591888133384,-0.683196,-0.31897,0.496522,1.4965785,2.1532292,-2.930296
1591888133406,-0.707392,-0.277224,0.45526,3.4452665,-2.049985,-0.03623414
1591888133427,-0.728853,-0.264024,0.415816,1.2237353,-8.390218,0.90225184
1591888133447,-0.742599,-0.267388,0.378595,-2.231114,-10.836185,5.449783
1591888133470,-0.743933,-0.276734,0.358186,-1.7828462,-4.831814,7.3960953
1591888133496,-0.747626,-0.262869,0.339422,1.3854135,-1.8887987,7.91047
1591888133520,-0.755522,-0.220832,0.311245,-0.59848,0.36546707,2.3357875
1591888133543,-0.754777,-0.204399,0.309038,-3.1331804,-2.9823074,-2.6310396
1591888133569,-0.752413,-0.200282,0.321742,-2.7577465,-10.028559,1.058931
1591888133591,-0.747077,-0.182993,0.32259,2.5361574,-6.805419,-0.10666525
1591888133614,-0.748381,-0.160557,0.2998,0.713457,-3.0519762,0.7261448
1591888133639,-0.755525,-0.137897,0.266651,-0.111199856,-4.4508266,2.7531629
1591888133663,-0.75655,-0.133103,0.25735,2.6976466,-3.8144588,3.162713
1591888133684,-0.751457,-0.134604,0.257705,3.8603091,-1.1013603,2.2394247
